Subject	Group	TrialNumber	TrialOrder	SuffixAmbiguity	Noun	Suffix	LemmaFrequency	NounLength	SuffixFrequency	SuffixProductivity	SuffixLength	IA_ID	DWELL_TIME	FIRST_FIXATION_DURATION	FIRST_RUN_FIXATION_COUNT	GAZE_DURATION	IA_SKIP	IA_FIRST_FIX_PROGRESSIVE	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	PROB_OF_REGRESSION
68b	b	54	23	vise	hlebac	ac	36	6	3764	191	2	4	648	292	2	648	0	1	648	648	0
68b	b	56	8	vise	izvornik	nik	486	8	6585	266	3	4	516	340	1	340	0	1	340	340	0
68b	b	18	17	vise	jastu?nica	nica	241	10	2280	181	4	4	900	312	3	900	0	1	900	900	0
68b	b	58	4	jedno	jedin?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	1008	328	2	536	0	1	1284	768	232
68b	b	60	25	jedno	jezi?i?	iĂ„â€ˇ	3	7	868	104	2	4	608	320	2	608	0	1	608	608	0
68b	b	20	35	jedno	kadionica	onica	291	9	234	15	5	4	988	256	2	304	0	1	1992	988	684
68b	b	22	14	vise	konjina	ina	74	7	6155	225	3	4	1228	248	5	1228	0	1	1228	1228	0
68b	b	24	12	jedno	lizi?	iĂ„â€ˇ	0.1	5	868	104	2	5	468	176	1	176	0	1	756	468	292
68b	b	26	16	vise	lovac	ac	9537	5	3764	191	2	4	224	224	1	224	0	1	224	224	0
68b	b	88	5	vise	nau?nik	nik	40951	7	6585	266	3	4	320	320	1	320	0	1	320	320	0
68b	b	62	10	jedno	osmakinja	kinja	5	9	170	37	5	4	280	280	1	280	0	1	280	280	0
68b	b	28	26	jedno	osnivanje	nje	30166	9	23567	2144	3	4	284	284	1	284	0	1	284	284	0
68b	b	30	1	jedno	primer?i?	Ă„Ĺ¤iĂ„â€ˇ	1	9	73	35	3	4	1052	272	1	272	0	1	1340	1052	780
68b	b	64	38	jedno	primitivnost	ost	114	12	3001	310	3	4	336	60	2	336	0	1	336	336	0
68b	b	32	28	jedno	puti?	iĂ„â€ˇ	269	5	868	104	2	4	240	240	1	240	0	1	240	240	0
68b	b	34	21	jedno	redi?	iĂ„â€ˇ	4	5	868	104	2	4	500	244	2	500	0	1	500	500	0
68b	b	66	41	vise	sluĂ„Ä…Ă‹â€ˇalica	lica	5965	9	537	65	4	4	632	160	2	424	0	1	424	424	0
68b	b	36	34	vise	smrtnik	nik	2119	7	6585	266	3	4	312	312	1	312	0	1	312	312	0
68b	b	84	24	jedno	star?i?	Ă„Ĺ¤iĂ„â€ˇ	107	7	73	35	3	4	1020	332	4	1020	0	1	1020	1020	0
68b	b	68	39	jedno	streljana	ana	581	9	424	35	3	4	932	272	1	272	0	1	1116	932	660
68b	b	70	32	vise	sudija	ija	67415	6	3200	192	3	4	408	408	1	408	0	1	560	408	0
68b	b	72	22	jedno	sviraljka	aljka	8	9	81	17	5	4	620	236	1	236	0	1	856	620	384
68b	b	38	43	vise	udara?	aĂ„Ĺ¤	270	6	2140	166	2	4	508	236	1	236	0	1	236	236	0
68b	b	74	44	vise	ulaznica	nica	11438	8	2280	181	4	4	300	300	1	300	0	1	300	300	0
68b	b	40	15	vise	umetnik	nik	38568	7	6585	266	3	4	396	168	1	168	0	1	168	168	0
68b	b	76	37	jedno	uvoj?i?	Ă„Ĺ¤iĂ„â€ˇ	0.1	7	73	35	3	4	936	368	2	936	0	1	936	936	0
68b	b	78	9	jedno	ven?anje	nje	9556	8	23567	2144	3	4	440	208	2	440	0	1	440	440	0
68b	b	42	42	vise	ven?ina	ina	0.1	7	6155	225	3	4	868	124	2	612	0	1	944	612	0
68b	b	44	6	jedno	vernost	ost	2854	7	3001	310	3	4	572	280	2	572	0	1	572	572	0
68b	b	46	7	vise	zemljak	ak	3466	7	5345	165	2	4	860	144	1	144	0	1	984	572	428
68b	b	80	30	vise	zidina	ina	2972	6	6155	225	3	4	468	468	1	468	0	1	468	468	0
68b	b	82	29	jedno	zvuki?	iĂ„â€ˇ	1	8	868	104	2	4	396	396	1	396	0	1	396	396	0
71b	b	48	9	jedno	?lanarina	arina	4717	9	46	12	5	4	1124	356	2	600	0	1	600	600	0
71b	b	50	24	jedno	?vori?	iĂ„â€ˇ	444	6	868	104	2	4	300	300	1	300	0	1	300	300	0
71b	b	8	43	vise	?vrstina	ina	2303	8	6155	225	3	4	232	232	1	232	0	1	232	232	0
71b	b	2	38	vise	an?elak	ak	331	7	5345	165	2	4	328	328	1	328	0	1	328	328	0
71b	b	4	2	vise	brija?	aĂ„Ĺ¤	636	6	2140	166	2	4	184	184	1	184	0	1	184	184	0
71b	b	6	19	vise	cvetak	ak	288	6	5345	165	2	4	304	140	2	304	0	1	304	304	0
71b	b	10	42	vise	davljenik	nik	386	9	6585	266	3	4	356	216	1	216	0	1	216	216	0
71b	b	12	21	vise	divljak	ak	1045	7	5345	165	2	4	212	212	1	212	0	1	212	212	0
71b	b	52	13	jedno	drĂ„Ä…Ă„Äľavnost	ost	4745	9	3001	310	3	4	640	488	2	640	0	1	640	640	0
71b	b	86	12	jedno	dvojnost	ost	222	8	3001	310	3	4	548	212	2	400	0	1	400	400	0
71b	b	14	3	vise	dvorac	ac	5925	6	3764	191	2	4	224	224	1	224	0	1	224	224	0
71b	b	16	27	jedno	gusto?a	oĂ„â€ˇa	294	7	913	53	3	4	196	196	1	196	0	1	196	196	0
71b	b	54	31	vise	hlebac	ac	36	6	3764	191	2	4	396	164	1	164	0	1	164	164	0
71b	b	56	29	vise	izvornik	nik	486	8	6585	266	3	4	272	272	1	272	0	1	272	272	0
71b	b	18	20	vise	jastu?nica	nica	241	10	2280	181	4	4	396	244	2	396	0	1	396	396	0
71b	b	58	14	jedno	jedin?e	Ă„Ĺ¤e	0.1	7	88	36	2	4	780	280	1	280	0	1	280	280	0
71b	b	60	30	jedno	jezi?i?	iĂ„â€ˇ	3	7	868	104	2	4	492	216	3	492	0	1	492	492	0
71b	b	20	34	jedno	kadionica	onica	291	9	234	15	5	4	660	240	3	660	0	1	660	660	0
71b	b	22	1	vise	konjina	ina	74	7	6155	225	3	4	748	328	1	328	0	1	328	328	0
71b	b	24	22	jedno	lizi?	iĂ„â€ˇ	0.1	5	868	104	2	5	248	248	1	248	1	0	248	248	0
71b	b	26	40	vise	lovac	ac	9537	5	3764	191	2	4	160	160	1	160	0	1	160	160	0
71b	b	88	8	vise	nau?nik	nik	40951	7	6585	266	3	4	500	184	2	356	0	1	356	356	0
71b	b	62	39	jedno	osmakinja	kinja	5	9	170	37	5	4	416	416	1	416	0	1	416	416	0
71b	b	28	23	jedno	osnivanje	nje	30166	9	23567	2144	3	4	560	372	1	372	0	1	372	372	0
71b	b	30	41	jedno	primer?i?	Ă„Ĺ¤iĂ„â€ˇ	1	9	73	35	3	4	612	168	2	380	0	1	380	380	0
71b	b	64	15	jedno	primitivnost	ost	114	12	3001	310	3	4	740	248	4	740	0	1	740	740	0
71b	b	32	33	jedno	puti?	iĂ„â€ˇ	269	5	868	104	2	4	220	220	1	220	0	1	220	220	0
71b	b	34	28	jedno	redi?	iĂ„â€ˇ	4	5	868	104	2	4	412	188	1	188	0	1	188	188	0
71b	b	66	10	vise	sluĂ„Ä…Ă‹â€ˇalica	lica	5965	9	537	65	4	4	368	172	2	332	0	1	332	332	0
